,,2023,,,,,2024,,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026,,,,,,,,,,,,
,,,,,,總觸及人數,"122,304","346,249","286,020","379,329","226,084","310,099","226,935","163,134","270,394","1,143,093","222,917","293,146","3,989,704",總觸及人數,"186,985","392,602","525,014","224,514","224,791","378,253","651,519","523,860","566,792","452,678","1,463,266","366,693","3,267,600",,,,,,,,,,,,,
,,,,,,新增淨追蹤數,377,472,"1,086",616,446,330,343,550,584,"3,261","1,271","1,191","10,527",新增淨追蹤數,"1,100","1,620","1,896",876,741,374,"1,423","1,245","2,316",832,"1,439",165,"14,027",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,行銷營收,其他營收,營收總計,成長率,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2024,"9,508,562","1,509,183","11,017,746",61.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2025,"10,915,986","409,927","11,325,913",2.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2024,2025,成長率,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,總自然觸及人數,"1,402,684","2,483,470",77.05%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,總觸及人數,"3,989,704","3,267,600",-18.10%,,,總自然觸及人數,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,新增淨追蹤數,"10,527","14,027",33.25%,,,每季 40w,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,季目標,fb ,"330,000",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.424907381,,,,,IG ,"90,000",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,新增淨追蹤數（新增-取消）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,每月 900,fb,550,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,IG,350,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,門票,講堂,1299,12,13,202644,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,門票,小聚,200,4,30,24000,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,贊助,,,,,,,,,,,,,,,,,,,,,,,,,
